05.py,12.py,04.py,09.py,08.py,07.py,02.py,06.py,01.py,03.py,11.py,10.py,
1.0,0.315,0.837,0.35,0.285,0.231,0.357,0.285,0.417,0.783,0.338,0.354,
0.315,1.0,0.352,0.69,0.618,0.556,0.613,0.495,0.627,0.38,0.814,0.742,
0.837,0.352,1.0,0.308,0.313,0.223,0.318,0.303,0.602,0.687,0.346,0.332,
0.35,0.69,0.308,1.0,0.811,0.664,0.931,0.879,0.535,0.652,0.862,0.8,
0.285,0.618,0.313,0.811,1.0,0.9,0.733,0.764,0.558,0.626,0.708,0.736,
0.231,0.556,0.223,0.664,0.9,1.0,0.536,0.575,0.406,0.51,0.653,0.602,
0.357,0.613,0.318,0.931,0.733,0.536,1.0,0.884,0.568,0.663,0.759,0.791,
0.285,0.495,0.303,0.879,0.764,0.575,0.884,1.0,0.563,0.633,0.665,0.698,
0.417,0.627,0.602,0.535,0.558,0.406,0.568,0.563,1.0,0.491,0.674,0.57,
0.783,0.38,0.687,0.652,0.626,0.51,0.663,0.633,0.491,1.0,0.509,0.531,
0.338,0.814,0.346,0.862,0.708,0.653,0.759,0.665,0.674,0.509,1.0,0.765,
0.354,0.742,0.332,0.8,0.736,0.602,0.791,0.698,0.57,0.531,0.765,1.0,
