1A.cpp,1B.cpp,1C.cpp,2A.cpp,2B.cpp,3A.cpp,3B.cpp,4A.cpp,4B.cpp,5A.cpp,5B.cpp,
1.0,0.757,0.837,0.318,0.019,0.045,0.107,0.031,0.017,0.015,0.039,
0.757,1.0,0.713,0.323,0.011,0.047,0.122,0.033,0.016,0.013,0.038,
0.837,0.713,1.0,0.334,0.027,0.048,0.101,0.029,0.016,0.016,0.04,
0.318,0.323,0.334,1.0,0.036,0.063,0.147,0.02,0.02,0.015,0.028,
0.019,0.011,0.027,0.036,1.0,0.128,0.101,0.064,0.081,0.055,0.049,
0.045,0.047,0.048,0.063,0.128,1.0,0.7,0.289,0.301,0.19,0.19,
0.107,0.122,0.101,0.147,0.101,0.7,1.0,0.413,0.422,0.302,0.332,
0.031,0.033,0.029,0.02,0.064,0.289,0.413,1.0,0.903,0.408,0.432,
0.017,0.016,0.016,0.02,0.081,0.301,0.422,0.903,1.0,0.492,0.443,
0.015,0.013,0.016,0.015,0.055,0.19,0.302,0.408,0.492,1.0,0.932,
0.039,0.038,0.04,0.028,0.049,0.19,0.332,0.432,0.443,0.932,1.0,
