5B.cpp,4B.cpp,3A.cpp,4A.cpp,5A.cpp,1B.cpp,3B.cpp,1C.cpp,2B.cpp,1A.cpp,2A.cpp,
1.0,0.846,0.526,0.78,0.979,0.417,0.625,0.422,0.528,0.427,0.433,
0.846,1.0,0.648,0.931,0.871,0.42,0.716,0.416,0.622,0.428,0.466,
0.526,0.648,1.0,0.68,0.53,0.484,0.946,0.484,0.829,0.486,0.532,
0.78,0.931,0.68,1.0,0.776,0.493,0.767,0.482,0.624,0.496,0.476,
0.979,0.871,0.53,0.776,1.0,0.353,0.619,0.362,0.539,0.366,0.398,
0.417,0.42,0.484,0.493,0.353,1.0,0.599,0.965,0.377,0.993,0.874,
0.625,0.716,0.946,0.767,0.619,0.599,1.0,0.579,0.781,0.595,0.642,
0.422,0.416,0.484,0.482,0.362,0.965,0.579,1.0,0.425,0.987,0.869,
0.528,0.622,0.829,0.624,0.539,0.377,0.781,0.425,1.0,0.406,0.444,
0.427,0.428,0.486,0.496,0.366,0.993,0.595,0.987,0.406,1.0,0.877,
0.433,0.466,0.532,0.476,0.398,0.874,0.642,0.869,0.444,0.877,1.0,
